Time,E00000023-outdoor,E00000023-F3n-L,E00000023-F3n-L-I/O,E00000023-F3n-vent-m^3/h,E00000024-outdoor,E00000024-F3n-L,E00000024-F3n-L-I/O,E00000024-F3n-vent-m^3/h,E00000025-outdoor,E00000025-H3n-L,E00000025-H3n-L-I/O,E00000025-H3n-vent-m^3/h
00:00:00,14.67,13.00,0.89,3361.25,14.78,13.00,0.88,8795.50,14.78,13.00,0.88,3361.3
01:00:00,14.23,8.45,0.59,9140.70,13.81,8.45,0.61,3738.34,13.81,7.80,0.56,9140.7
02:00:00,13.13,5.64,0.43,609.30,13.08,5.64,0.43,2685.26,13.08,4.53,0.35,609.3
03:00:00,12.50,3.68,0.29,8320.41,12.39,3.68,0.30,9188.84,12.39,2.58,0.21,8320.4
04:00:00,12.21,2.43,0.20,737.89,12.33,2.43,0.20,9743.18,12.33,1.48,0.12,737.9
05:00:00,11.88,1.56,0.13,6908.35,12.64,1.56,0.12,9948.07,12.64,0.84,0.07,6908.3
06:00:00,12.31,1.02,0.08,3901.16,13.42,1.02,0.08,5508.11,13.42,0.47,0.04,3901.2
07:00:00,12.56,0.68,0.05,6059.14,14.15,0.68,0.05,4437.97,14.15,0.27,0.02,6059.1
08:00:00,13.20,0.45,0.03,3154.90,14.54,0.45,0.03,3778.38,14.54,0.16,0.01,3154.9
09:00:00,13.86,0.39,0.03,7431.02,14.79,0.39,0.03,1929.21,14.79,0.10,0.01,7431.0
10:00:00,13.59,1.01,0.07,6392.23,14.75,1.01,0.07,800.49,14.75,1.56,0.11,6392.2
11:00:00,13.98,1.50,0.11,3897.64,15.12,1.50,0.10,9684.19,15.12,4.19,0.28,3897.6
12:00:00,13.09,2.22,0.17,3613.10,14.44,2.22,0.15,2199.02,14.44,5.17,0.36,3613.1
13:00:00,11.77,20.81,1.77,1535.15,13.09,20.81,1.59,7098.07,13.09,11.54,0.88,1535.1
14:00:00,10.91,23.81,2.18,5630.95,11.94,23.81,1.99,3120.39,11.94,25.46,2.13,5631.0
15:00:00,10.79,23.84,2.21,375.47,11.73,23.84,2.03,4495.44,11.73,29.82,2.54,375.5
16:00:00,10.69,19.89,1.86,8535.59,12.35,19.89,1.61,1574.80,12.35,26.14,2.12,8535.6
17:00:00,12.51,14.73,1.18,6278.28,13.07,14.73,1.13,7747.30,13.07,19.22,1.47,6278.3
18:00:00,13.41,10.21,0.76,543.31,14.40,10.21,0.71,7347.44,14.40,12.95,0.90,543.3
19:00:00,14.37,7.18,0.50,709.76,15.08,7.18,0.48,7567.53,15.08,6.35,0.42,709.8
20:00:00,14.54,5.33,0.37,2953.53,15.19,5.33,0.35,9252.32,15.19,6.71,0.44,2953.5
21:00:00,15.26,6.11,0.40,5155.90,15.79,6.11,0.39,3568.34,15.79,12.08,0.76,5155.9
22:00:00,15.07,6.77,0.45,8755.50,15.61,6.77,0.43,8948.62,15.61,14.15,0.91,8755.5
23:00:00,15.27,63.17,4.14,6821.76,15.26,63.17,4.14,3921.63,15.26,13.58,0.89,6821.8
24:00:00,14.67,41.46,2.83,653.33,14.78,41.46,2.81,614.21,14.78,11.11,0.75,653.3
Average,13.22,11.41,0.87,4459.02,13.94,11.41,0.83,5507.71,13.94,9.25,0.69,4459.02
